dendroFD	TOP	TED	MVNHdet	TPD_FRich	TPD_FEve	TPD_FDiv	HV_Rich	HV_Reg	HV_Dev	n_sim	range_trait1	CVcomm	CVintrasp
1.261152131	127.0063763	0.914160401	22.34513294	1938.32461	0.502594974	0.446954116	106.1067022	0.539146313	4.326553768	6	24.5	0.3	0.2
1.146947028	87.53405741	0.903712469	10.46428987	1938.32461	0.502342591	0.447253593	74.8925831	0.414463015	3.949194229	6	24.5	0.3	0.2
1.298322544	125.4594687	0.935971196	25.2452419	1938.32461	0.502594974	0.446954116	110.4359454	0.539808667	3.875898272	6	24.5	0.3	0.2
0.961702329	104.5584182	0.960312064	14.80671191	1938.32461	0.502342591	0.447253593	84.30715593	0.610119283	4.020389192	6	24.5	0.3	0.3
0.958916566	112.4301126	0.893553509	22.26814436	1938.32461	0.502594974	0.446954116	101.1857838	0.501202957	4.118463238	6	24.5	0.3	0.3
1.261676997	128.8732506	0.971237605	83.31412454	1938.32461	0.502342591	0.447253593	205.1485271	0.624548836	5.632765566	6	24.5	0.3	0.4
1.608179257	237.1904125	0.94888939	272.5920529	1938.32461	0.502594974	0.446954116	435.5085234	0.617889167	8.369819032	6	24.5	0.3	0.4
1.595803855	230.3947999	0.962373398	197.6210562	1463.319926	0.522556223	0.423904359	351.0003	0.802556202	8.703582479	7	28.4	0.3	0
1.341092632	100.9897817	0.842450886	19.6779939	1463.319926	0.521201099	0.42368856	99.15682846	0.488400781	3.010933218	7	28.4	0.3	0.1
1.28329025	113.1086452	0.941616512	26.00748273	1463.319926	0.522556223	0.423904359	119.1009129	0.529363261	4.422990523	7	28.4	0.3	0.1
1.446664268	103.9648069	0.972420601	28.44944895	1463.319926	0.521201099	0.42368856	127.9674549	0.605486608	5.696539423	7	28.4	0.3	0.2
1.481813826	111.5756479	0.959803441	19.2314639	1463.319926	0.522556223	0.423904359	89.8858728	0.57337273	3.447256631	7	28.4	0.3	0.2
1.187052817	97.95585209	0.863302655	19.30795536	1463.319926	0.521201099	0.42368856	93.67386556	0.32665239	3.676876498	7	28.4	0.3	0.2
1.432825613	111.3199367	0.819025306	23.09115389	1463.319926	0.522556223	0.423904359	97.61820214	0.393418057	3.479065121	7	28.4	0.3	0.3
1.309241557	117.3988945	0.979754564	28.66009192	1463.319926	0.521201099	0.42368856	115.9012848	0.518126128	4.640858565	7	28.4	0.3	0.3
1.346378186	134.0483577	0.95882619	54.05221323	1463.319926	0.522556223	0.423904359	155.5172084	0.704688435	4.910470282	7	28.4	0.3	0.4
1.912631129	213.1876385	0.965404843	266.5860887	1463.319926	0.521201099	0.42368856	428.3395822	0.732075509	9.199560251	7	28.4	0.3	0.4
1.512931497	339.0138731	0.947737013	632.8588634	2039.355355	0.524340612	0.43098679	860.9547478	0.656383476	12.55911899	8	32.2	0.3	0
1.032551685	138.0432604	0.975221815	60.0745075	2039.355355	0.51891944	0.42992665	191.2028078	0.597364242	5.954436862	8	32.2	0.3	0.1
1.132347488	120.4105801	0.934191793	32.06750431	2039.355355	0.524340612	0.43098679	140.4639138	0.685571673	5.643010961	8	32.2	0.3	0.1
1.205820838	122.296058	0.925502763	33.05484296	2039.355355	0.51891944	0.42992665	130.149975	0.469447276	4.458040967	8	32.2	0.3	0.2
1.068825185	130.3099571	0.968047809	71.58619923	2039.355355	0.524340612	0.43098679	185.8188446	0.550938719	4.492971228	8	32.2	0.3	0.2
0.991038988	109.1865197	0.960629007	25.55764531	2039.355355	0.51891944	0.42992665	112.2562466	0.551049562	4.551194358	8	32.2	0.3	0.2
0.981338401	118.1553955	0.932061578	31.62891662	2039.355355	0.524340612	0.43098679	113.836964	0.573029952	4.549644267	8	32.2	0.3	0.3
0.932945831	120.7120673	0.928698709	31.94426086	2039.355355	0.51891944	0.42992665	128.5168657	0.589590029	4.518345188	8	32.2	0.3	0.3
1.132177512	128.6332649	0.97217363	45.70029074	2039.355355	0.524340612	0.43098679	145.9229606	0.564708364	4.514852351	8	32.2	0.3	0.4
1.308785323	261.9139617	0.932652876	151.2814803	2039.355355	0.51891944	0.42992665	436.9849708	0.74280734	9.545141406	8	32.2	0.3	0.4
1.396288379	336.3069512	0.922121336	1111.266	2231.061932	0.502701939	0.415225113	738.6791462	0.538463862	14.58459393	9	36.1	0.3	0
1.346108912	150.5717014	0.971673144	102.1651766	2231.061932	0.501313671	0.415882667	231.3744412	0.65345342	5.662627126	9	36.1	0.3	0.1
0.940087969	138.9021573	0.93172063	45.62693847	2231.061932	0.502701939	0.415225113	164.632362	0.526461995	5.299366096	9	36.1	0.3	0.1
0.940075763	131.0475038	0.869994347	29.77894628	2231.061932	0.501313671	0.415882667	124.4718428	0.60413621	5.292241214	9	36.1	0.3	0.2
1.062470437	129.5182456	0.904707673	38.13616288	2231.061932	0.502701939	0.415225113	129.2605538	0.634835963	4.410960119	9	36.1	0.3	0.2
1.059968778	108.4355664	0.898207574	22.17357164	2231.061932	0.501313671	0.415882667	107.1969365	0.590059009	3.23013008	9	36.1	0.3	0.2
1.197131128	132.5356369	0.91057617	33.2552706	2231.061932	0.502701939	0.415225113	128.1642627	0.488120798	6.147591965	9	36.1	0.3	0.3
1.277571457	149.9581179	0.942358058	74.16872267	2231.061932	0.501313671	0.415882667	192.874155	0.551203757	5.758385901	9	36.1	0.3	0.3
0.968981821	170.8328191	0.940542897	44.78390449	2231.061932	0.502701939	0.415225113	171.5736198	0.693975618	7.003847175	9	36.1	0.3	0.4
1.355363477	261.9420294	0.944513461	335.2222933	2231.061932	0.501313671	0.415882667	425.45661	0.620363979	8.631155933	9	36.1	0.3	0.4
1.486388553	361.7741563	0.860290124	1650.804381	2943.266652	0.481930114	0.395746184	1083.491615	0.593826523	15.0083342	10	40	0.3	0
